                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3996,                  5.115,                  1.446,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00014,                0.00014,                0.00014
                      2,                 4.0197,                 2.2895,                 1.1103,                0.16912,                0.04789,                0.03482,                0.01091,                 3.4144,                 3.4062,                0.98022,              0.0001515,              0.0001515,              0.0001515
